,Var0,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37,Var38,Var39,Var40,Var41,Var42,Var43,Var44,Var45,Var46,Var47,Var48,Var49,Var50,Var51,Var52,Var53,Var54,Var55,Var56,Var57,Var58,Var59,Var60,Var61,Var62,Var63,Var64,Var65,Var66,Var67,Var68,Var69,Var70,Var71,Var72,Var73,Var74,Var75,Var76,Var77,Var78,Var79,Var80,Var81,Var82,Var83,Var84,Var85,Var86,Var87,Var88,Var89,Var90,Var91,Var92,Var93,Var94,Var95,Var96,Var97,Var98,Var99
Var0,0.0,14.888021975272432,16.128876369540055,16.100058829792523,16.130395639304055,18.22810566292361,18.99299659908899,18.455550616544578,21.730993831794816,18.768826223807512,18.480804532396856,20.4341373458291,21.348192812113336,21.739735295354492,22.527250577059647,13.455946366454185,22.10239484029024,21.589155550343282,19.92827956676718,23.31154882133264,21.527998733140148,17.80331416037132,19.917282074485406,22.62722212619512,17.88897807324724,18.58642908837728,20.122172839465037,20.73981764049691,24.038573398665754,20.425119425336447,19.54261234547126,16.606340271806424,19.462120438015173,22.062139008465863,18.614084116621147,22.866906301228866,23.123694793020388,19.169997293470136,18.460265571494766,19.910262962125937,22.012766005252285,18.77220898415822,17.641066970890424,19.04161482032848,20.49182553815604,20.61755880574533,19.512201030050672,19.014411444823867,17.19676454825512,22.525975500085508,13.292184084365074,17.61976563794807,17.11739527080115,19.087017405207455,17.30102901638706,18.09582407593428,18.167133307948376,21.206720149180814,17.684677160537873,19.059400518661334,20.414399801248294,22.362620181098332,22.696107610523008,23.13411472676729,22.747741572078617,22.37100912335786,19.481237281140707,23.256376603392344,22.536918214766935,21.53034862467414,23.45878819743273,20.909875399688648,21.527299380109994,21.280990670617175,22.272618827636865,19.50712811914062,23.922549661755554,21.937514229262433,21.579450245238316,18.45840592793326,23.688545429835404,23.09262816202516,20.142363747601266,20.939498587482714,21.818448270602325,22.10916446033376,23.88278712633824,20.442454274229124,23.60173838795567,23.108353153059454,20.967276118039877,19.285850886766067,20.046809465493837,19.53990382874363,20.20753125398517,20.288221052685,21.13066631700698,20.768326370672842,17.825358269111256,21.734556248420333
Var1,14.888021975272432,0.0,7.173611275833005,8.449467638950898,9.777949574655667,11.365294444697927,13.590537678260267,13.093409605045547,16.671731203128946,16.57362435412499,20.3294018363251,16.512359958389112,18.256996274467085,21.39011160900311,22.707505579032375,8.006966218061397,18.6461181632914,20.349935591958367,20.36202068135222,23.379437178483446,21.550458280593787,18.675943103803437,19.235511525637833,18.438995974006414,19.150062648823507,19.971292715516825,20.58222210095833,20.817452654999304,24.127133631224655,19.531863568483132,20.626504327569357,17.168970074628618,19.806632662314218,22.380462531245684,19.376276840457987,21.24210391993409,22.31843928313883,19.54303698383318,17.635241938034415,14.853094860527365,21.867798623787333,21.889039595060762,20.15129864987029,21.129158071000223,20.866239392784465,22.712129833870193,22.439711823315175,21.90590681876018,16.50669413250525,22.908392342236766,11.714135834014439,8.994954331548962,8.78533231775558,11.659720584675071,8.859886715931433,11.883085168867828,13.27791622515949,15.920357334551937,14.088722036535437,18.00208974825181,15.223411277586575,20.153589573298838,21.88860946020116,22.04545142777116,23.277734463613502,22.076114811798462,14.659993023280066,22.121046880160907,21.96838548657147,20.130478961402662,23.592629380768518,19.718244957350304,20.63819258989759,15.82372862894816,17.08313482813543,17.87397401701115,22.759153736156758,20.112648333993942,22.135021784039687,16.42055592268081,21.12692093362513,22.747180667189316,19.85754471858893,19.971182839735853,21.76298278413539,22.655294035104276,23.072733816955584,21.70136463913871,22.525993138059665,20.95925166992812,19.96576059572078,15.171674251513389,16.41468480367767,21.532996677510667,20.714871623543033,21.846703136175282,22.538748917740218,23.17708195246911,16.71722324267768,22.21083132004939
Var2,16.128876369540055,7.173611275833005,0.0,10.798056174168218,11.382796129235796,9.354146320976445,11.591732650800905,11.673428038688643,15.432810967796046,15.094992502027544,19.927830424214758,15.277486615306323,17.993107305651563,21.004184113890656,22.054247756179468,10.240949493388571,18.522467991213343,20.70291582577515,20.613306546477478,24.17907442122452,22.392684590492046,19.30159519979441,19.504211465210997,18.80533599005618,19.613375195952134,19.39291796195672,21.188528472168677,20.73136488989862,23.75366779154065,19.36347336690394,21.526848350973538,16.908151268434473,21.69527824600056,23.005376574248658,20.688799689151292,20.897072867713987,22.12346251053178,20.111394433621665,17.9099629261023,14.437085003898055,22.209504702947743,21.770469207307798,21.101364588137294,20.960444736491326,21.55192953528961,23.02361180396157,23.4182571757094,22.342752111870272,15.631023926314544,22.597663531572447,12.003593837261956,8.104976971516583,9.087742515063107,11.643667931633798,6.878705480531801,9.594072583421996,12.326020113481883,14.535591463462364,14.180327792122894,18.49457290607658,15.185952814235206,20.17600245321482,21.871868668949016,21.564011421194348,23.041785802271903,21.787460932020235,13.082726130636965,22.057222923268792,22.072346389375397,20.138454252439363,23.796740659706746,19.690961264988672,20.715139786593316,14.028184852639429,16.532052201783987,18.238810750348748,22.758705169613044,19.158788747285218,22.803985425972026,17.076988165630276,21.210451088647,22.41034163150285,21.006329177397287,19.98958438703443,22.000853650713942,22.858778135611573,22.05564726799737,21.27797396432798,21.90210699194827,20.257557326123386,20.324377112831844,15.016061006998356,16.811337385243505,21.900038512611193,20.95663037368248,21.291447576483023,22.28994799878946,23.62866909608467,15.701704078116336,21.021105748398163
Var3,16.100058829792523,8.449467638950898,10.798056174168218,0.0,10.16425865340507,11.879455990665697,11.473686506805118,10.704218974980868,14.540848837965722,18.00049938361498,20.39945918780496,18.019643704805834,16.410607993590833,20.85174286398933,22.04187580428723,8.111916118513301,17.49866002245903,17.459810430040285,18.406846982285387,22.529355946034347,20.79855479035937,18.57529994767633,20.243758027227305,18.483672620740137,20.67663191767111,21.46920271226298,22.620813409694648,22.767035631434815,22.63397971727295,20.496807243051265,21.146831344853915,17.31394484210129,18.54489605121258,20.618686661566237,20.53593499212905,19.914598969836604,22.906848272788984,20.379999306914712,18.632539618258985,13.89616599260945,20.412961106511283,23.085801426904123,20.69981579755087,22.26586993965963,22.534146214766245,23.534389365814313,23.21939952558371,22.983280216084353,15.887113143694787,21.233219367930683,13.793520847260522,11.229411596939498,8.50136951171912,10.425063345887805,10.658464995908284,11.631149813166422,10.344687123626828,13.679029020870463,14.09951784246623,17.843428934918965,15.949822197277605,17.99126270473096,20.38535895656799,20.45567489832875,21.704689831175006,21.69674890471415,11.498267765353823,19.3606392106461,19.37647086858898,16.735342680119196,21.87674420447583,17.815517570795667,20.72133753092434,13.748442178514146,15.218093851123724,19.126321405685626,21.68326045458555,21.58331873575427,22.18810833739709,16.85571695187152,19.828650085063945,20.136957240483568,21.549044341537904,18.765141559017152,23.11783445955146,22.480367516399422,23.140270921710325,23.465106845126098,21.08993237303658,18.514174429769675,19.158079478724048,16.87511512272442,17.09491603323205,22.588532975289024,20.95403191766203,22.93688528921086,23.802403242514853,23.978476480662618,15.692487442515338,20.644381304771848
Var4,16.130395639304055,9.777949574655667,11.382796129235796,10.16425865340507,0.0,13.329044084675651,15.793945277110398,13.727824027274451,16.430660271284903,19.058795992348887,20.49330802602413,18.731280375123017,18.824649506722082,20.997656499170127,22.249111250262864,11.362792503271551,18.320278166322105,19.189342560692936,19.331570758655957,21.73009968510635,20.342244397179595,19.813928413936637,19.709234929281664,18.717071274854106,20.710187892124733,21.074876266873797,20.05022544723335,21.19261787079353,22.654806009838893,19.913226251666657,21.60427939253703,17.752687085237355,18.476463407795464,20.550106746080647,19.1725913242677,19.86659647082888,20.95817522510114,19.552391521098794,17.402268525870014,16.36452046013575,20.40214745421954,22.488509571609683,20.75454162368784,21.433612096464508,20.70609408586277,21.860427887038515,21.131154533193268,20.957016740836245,17.609414654140878,20.99853988632079,13.533208839373012,12.64484552945916,12.087507202302971,13.568490203834324,11.123054732414142,13.645433205309073,14.015880161216739,15.205696519210532,15.874511619412397,18.581606806220563,16.299541066819977,20.04045608842306,20.128861257951197,20.73754568193693,21.70661890217973,21.35851463422669,14.993594980738045,20.524626877762465,19.845732801838057,18.882037803423916,21.750817983842012,19.206424461515592,20.047020317741335,15.948033206900504,16.734438713615408,19.627845211624226,20.946008229893543,20.444856632637734,22.813663120672867,16.87030258331563,19.40269098504074,20.62043826842602,19.7364762717292,18.925270837478596,20.757391745617642,20.639342294682013,21.20249182546513,21.598898032058727,20.70999837399049,19.332815539408315,19.445769405144677,17.114196823649372,16.131000739175008,22.23962992039436,20.979020254406613,22.018564247329937,21.491657569014897,21.875850782615334,17.91951978924057,20.713051530058834
Var5,18.22810566292361,11.365294444697927,9.354146320976445,11.879455990665697,13.329044084675651,0.0,9.405923018135285,9.054461531553583,9.961582921419952,16.507918368475988,19.23400777285699,15.560514204738153,17.505326203593345,21.23891007938897,22.06369103122465,12.799608632567272,18.01508845966538,18.862409616631606,20.281165252497146,22.154035229903833,22.28584808593716,21.33777846887921,21.197733581398296,17.032977521514525,19.819332654833218,20.81366658905235,21.82565175839525,22.016120953021964,22.717319696706344,20.142039981175888,21.887121921389557,19.168471161413628,20.416484104586647,21.31372940583942,21.8194925647352,17.244738533384467,20.296578214329287,19.126989687897254,16.879638310080644,11.034803002830298,19.09932371878278,22.96294705217846,22.200430659142036,22.25723963782558,21.64877062623702,22.8678498850019,23.737600819116462,23.68459896725499,13.128113546473028,19.720900145168123,14.129185309606559,11.856559065993672,10.647349151362937,10.772102301702247,6.354159053110182,6.225643149963082,9.57089779817051,9.994434450946857,11.694342024054974,16.2587828865164,13.739658294038202,18.446353187943032,20.59355740699102,20.54774642136749,21.85237544790204,22.377787415647102,9.678322348036168,20.38357386110364,20.093011542141234,17.77227606885421,22.626266593670692,19.64829490774463,21.492792319076344,9.759707183721703,12.821339158644722,18.042540313011212,20.973460479212402,20.108482960315275,22.03864920608987,17.64677491334609,18.277477583512727,19.323854668875548,20.842343861042824,19.74770674798882,21.86480624925467,22.041972667337262,20.516775016558817,22.306172754165434,18.71232672217875,15.743488416733834,18.74009560769917,13.726077815416712,13.260500618433815,22.355351592766098,20.360659585972474,22.160461308692106,22.096088216816163,23.901684183171923,14.133447961982624,18.942549741847237
Var6,18.99299659908899,13.590537678260267,11.591732650800905,11.473686506805118,15.793945277110398,9.405923018135285,0.0,6.122143282876013,10.062768752505148,16.160625214984556,18.63707536553105,15.631926331513228,15.635791310834131,20.228098801010624,21.09728930585486,12.514548150446217,15.457981287503005,15.491355511082894,16.879301423313716,22.185543496240495,20.546582241760316,18.12815652257336,21.157937832454895,16.94418181189347,20.114728096763805,20.572849799112195,24.299714414892254,23.3985214352794,21.115864207819005,21.12781315347565,21.250161756825463,19.54073394244038,21.453179975237536,20.074617523015952,22.366921466457867,18.075757291325502,22.361805826392814,21.194571496808212,19.08014193813372,11.620853720877012,19.52736979657754,23.244244109867935,21.82482676545875,24.028768957853746,23.843097915761327,24.78321446836576,25.055055775233704,25.4677613230867,14.985185473876,20.36698895611625,16.231778339783066,13.449461589717517,10.940648941165536,12.127700423385592,10.442240069548697,8.484734740822878,7.117762086588502,9.36208472108335,12.317054984412241,15.94794824924375,14.544018318972165,16.138668361481844,18.97364418409991,19.41581393979687,20.475922673408224,21.783276385506376,6.5919948799371015,17.061212398190676,17.607609550140335,14.233905269701804,21.093577669920194,15.991659546732736,20.96822259300029,8.504903544034027,11.586439880088882,17.806403369245032,20.104906672333772,20.5703054686021,21.614756491941538,18.675635263990895,18.485975435317716,18.554711825762947,22.788525349760732,17.570024413349575,23.545264400838022,23.069631812897327,21.953537807865125,24.064090968372486,19.19391226999748,15.457449755754823,19.351045002521047,16.31152785822222,15.254144353456402,22.599283784353194,20.020348628629264,23.871812628167426,24.439350772896432,25.65189066397127,14.066643913305585,19.282592233855752
Var7,18.455550616544578,13.093409605045547,11.673428038688643,10.704218974980868,13.727824027274451,9.054461531553583,6.122143282876013,0.0,8.27626465919672,18.097771212771605,19.678427005135127,17.716834047515785,16.798484949569197,21.293760725052994,22.256254293035774,12.386287228169582,16.228665854880962,13.624915263003412,15.980803114069754,21.4379882056796,20.69466177856809,18.421106951428893,21.831362964454435,17.801074811821593,21.711698344270825,20.860033514329785,24.096084075671467,24.353004623760327,21.280415050591575,21.706034558814828,22.00500919190466,20.614230052172363,21.228566443049665,18.367910850299186,21.773139384349243,16.496703972132043,21.84922013541866,21.729839841198185,19.335607206730845,12.040915228758399,18.71800848137933,23.685093267996066,21.70236105476724,24.01822768840799,23.87122135394953,24.72731040939243,24.528625891903747,24.956844941468507,14.340548562716922,19.260943646824142,15.620577077322919,14.199147752367177,11.928315118713883,13.025192417019635,9.846448850185677,7.186156278505197,4.670543811580859,6.530891053967695,13.224348242835838,17.581573594618078,15.16336850963475,16.578838723255608,19.345856105571027,20.16631383626278,20.959874366860205,22.75794527583479,6.04895313454163,17.060688273760817,16.283394702374824,12.592436058327879,21.13664354397952,15.759505885140854,21.501653722866838,8.959777072049983,11.745896205014471,19.59906626247908,19.766527596932512,21.71899273503572,22.189515833686738,20.0520972528027,17.633220402771137,16.982442395620417,22.615843091590907,16.8897971932474,23.50388516913412,22.32492913226192,21.45029545660966,24.80210580550075,18.099449169481588,14.210071025326798,19.877100366769945,17.969680356737953,14.97093748813449,23.140003124610555,20.087174626607997,23.954258170456722,24.526536464029423,25.18021550397188,12.923315268589066,18.263337324908584
Var8,21.730993831794816,16.671731203128946,15.432810967796046,14.540848837965722,16.430660271284903,9.961582921419952,10.062768752505148,8.27626465919672,0.0,18.82326132512697,20.40122071049474,18.23500205577928,15.837962673473644,20.558302425078413,21.20848488660601,16.595571472806707,15.645900554148206,13.16876825973132,17.21018749619567,17.939950796985205,20.340969748706176,20.97202960102666,22.017875222558672,15.29826327172564,22.98003578894723,22.093956121293992,22.931753599334094,23.718618606835708,18.664973986531585,21.659300900254415,21.889900764279883,21.629339439200262,19.857692420919154,16.10947903279903,21.984642869435355,11.377809539303806,17.930687086683655,19.851897737235785,17.981846325204625,10.968711643571625,14.50961305392401,24.382828941000614,22.963025231510308,23.532040588265055,22.064781780486726,23.076913459108436,23.412766247758153,24.299963142385526,14.188229793916525,14.788165175944998,18.734882399333518,16.546476017307388,14.183230895548986,13.155950858204774,12.295962368769267,9.107351795016882,8.836242777558718,3.9540480338779607,13.374163067732226,17.520287183552423,14.510438630596017,14.560498842079852,17.81492836092686,18.839362039232192,19.686145725396944,21.931701084016446,7.3847311386935,15.433511218537785,14.645083944763089,12.085977146749176,19.266836267397213,16.973678277308878,21.47016547007362,6.930482949918709,8.859259882183276,19.72668712250569,16.9677869136646,21.43658622113508,21.287800730821356,20.038261486050715,13.569901203986781,13.260786292892792,21.157624567917154,17.281373060692587,21.595060395637272,20.28641503508603,17.524089667423546,23.83407492615237,13.05019592997693,8.929651078162294,17.98090343422602,17.084657629534405,12.024895814091382,22.79041273585208,19.878410748540475,23.092881867393427,22.827275344497345,23.727023754322545,13.69104333811066,14.716666605293499
Var9,18.768826223807512,16.57362435412499,15.094992502027544,18.00049938361498,19.058795992348887,16.507918368475988,16.160625214984556,18.097771212771605,18.82326132512697,0.0,17.67732475110165,13.701572097563327,18.37874251865083,19.15084621855533,18.95909347722513,16.945522184218078,19.839059078721903,22.582723474910466,22.613333801588634,23.418247874915476,22.013940522919423,19.164370681846773,18.176377364684107,18.733307361547666,16.02203207966336,18.895116755551566,19.640303414082844,19.135549786004567,21.4218332724589,18.97309345035828,19.202061525914157,15.47997313036169,21.885132478205694,23.93977049674403,20.896617714498888,21.279964070151856,21.05638731727192,18.81432362346339,16.834603181863177,18.18448596780282,22.86121204783584,19.094422217031035,21.211097274815202,20.000891800447253,19.54849912400847,21.779702291214814,22.67823600729839,21.56269577912866,19.53567987924377,23.007213198771662,16.23432868510559,13.995434345237271,14.59949675506436,13.964419850007154,15.725359766980676,17.03303414862042,18.274926969041378,19.164398276311577,14.366910137547848,16.84563749361672,16.2472872525169,19.782464295390007,21.262017081800458,20.287272297533118,21.269643231330864,18.84954488056216,18.190285195660955,22.076841837805713,23.28034368231377,22.245981059161032,22.488516300694442,20.86063930793125,19.75993288054942,17.410088228899713,18.945462665040175,12.106179295202427,22.694676960311067,17.800609703822197,20.23556626964021,16.583290294005288,22.11203976801399,23.010375434680117,20.387521172817486,20.64757335700222,20.114942042476116,22.46182994142476,20.964945162820047,19.2058130172988,22.109621427475577,22.01087363512978,19.539686912184727,13.64428755478915,19.45541646262887,17.420109190889587,19.477702834450703,19.34989851904509,21.29894166418754,22.07240588464714,19.771225913662615,22.068835910656933
