0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,0.8304,0.3243,0.1201,0.4569,0.0236,0.9654,0.708,0.9875,0.0965,0.6349,0.8971,0.4493,0.5709,0.6172,0.6318,0.1516,0.6078,0.0341,0.2872,0.5932,0.7592,0.0202,0.2512,0.1195,0.6738,0.1634,0.8122,0.0679,0.6533,0.2634,0.8748,0.6203,0.4352,0.3846,0.0002,0.0008,0.0301,0.0312,0.055,0.4519,0.0016,0.4277,0.695,0.513,0.1255,0.8378,0.3044,0.1814,0.5761,0.7371,0.2463,0.2745,0.3414,0.0221,0.1144,0.1559,0.9552,0.1991,0.2282,0.4559,0.0077,0.7754,0.0898,0.6306,0.7442,0.8242,0.0477,0.0483,0.8493,0.8169,0.268,0.2002,0.1027,0.1924,0.5941,0.5773,0.8558,0.7192,0.0657,0.269,0.7806,0.7116,0.2925,0.7866,0.5269,0.0557,0.5916,0.0065,0.1263,0.945,0.0181,0.0001,0.0137,0.6822,0.4391,0.1018,0.943,0.0471,0.7157
0.1577,0.0,0.6755,0.1028,0.4377,0.0831,0.1209,0.6686,0.9563,0.0374,0.0006,0.0072,0.9296,0.9062,0.4736,0.4455,0.9495,0.0046,0.269,0.0469,0.0402,0.0016,0.1392,0.5494,0.0146,0.0435,0.1333,0.2955,0.4878,0.0341,0.2466,0.7097,0.0081,0.0191,0.6381,0.6363,0.0529,0.7974,0.1744,0.7624,0.0146,0.7845,0.0267,0.8467,0.2141,0.056,0.0047,0.0441,0.7198,0.2001,0.0915,0.0023,0.8865,0.8387,0.0289,0.9236,0.1425,0.0868,0.197,0.0917,0.2509,0.3143,0.12,0.8652,0.6798,0.4174,0.3904,0.0129,0.0579,0.0037,0.1171,0.0011,0.5319,0.1698,0.227,0.5187,0.8426,0.5288,0.6904,0.6143,0.2306,0.0147,0.6225,0.0405,0.003,0.0048,0.5954,0.3,0.2336,0.0204,0.8912,0.723,0.328,0.9631,0.0147,0.8962,0.0152,0.2779,0.9695,0.8695
0.9503,0.7484,0.0,0.1907,0.2282,0.3496,0.0545,0.1115,0.0277,0.6893,0.0067,0.0352,0.7243,0.9057,0.324,0.0316,0.9974,0.0019,0.4794,0.2062,0.3864,0.6954,0.1288,0.861,0.0189,0.7005,0.7388,0.0488,0.2432,0.0798,0.8325,0.0207,0.1766,0.1245,0.4309,0.8442,0.2658,0.003,0.4936,0.9565,0.7391,0.3316,0.0865,0.4244,0.1618,0.2144,0.378,0.2064,0.773,0.835,0.9813,0.2962,0.209,0.5702,0.0622,0.0739,0.146,0.0361,0.1568,0.4521,0.2222,0.322,0.0466,0.8408,0.7686,0.9166,0.8611,0.2347,0.4062,0.0004,0.132,0.5581,0.6264,0.9786,0.351,0.6296,0.152,0.1885,0.6902,0.2444,0.3763,0.1253,0.1209,0.8571,0.3857,0.9722,0.5025,0.2091,0.7956,0.3168,0.9929,0.1203,0.5904,0.6044,0.3794,0.2516,0.1802,0.8099,0.1842,0.6374
0.7591,0.0001,0.6538,0.0,0.3531,0.7696,0.0095,0.748,0.1677,0.7222,0.0033,0.0034,0.4699,0.3676,0.4121,0.0347,0.1325,0.759,0.0921,0.1162,0.0372,0.4408,0.2465,0.0245,0.0019,0.1792,0.0021,0.2674,0.2451,0.0004,0.5104,0.7223,0.0045,0.1543,0.011,0.8582,0.0261,0.0055,0.1267,0.0061,0.0037,0.5723,0.0745,0.3978,0.0017,0.04,0.0056,0.1053,0.2799,0.0987,0.3056,0.0001,0.1232,0.2844,0.1805,0.1644,0.0469,0.0197,0.6286,0.2493,0.5988,0.8914,0.724,0.1509,0.8069,0.5959,0.8963,0.5151,0.6059,0.7235,0.0666,0.4772,0.6332,0.0769,0.0444,0.7003,0.471,0.8723,0.8149,0.8612,0.1229,0.637,0.8112,0.4267,0.299,0.2357,0.2541,0.1007,0.709,0.8766,0.7984,0.4652,0.5019,0.4276,0.5955,0.4432,0.3759,0.4576,0.754,0.6255
0.859,0.0033,0.7397,0.3961,0.0,0.2201,0.0,0.0277,0.001,0.3172,0.0055,0.0004,0.4685,0.0122,0.0144,0.0064,0.2596,0.0556,0.0043,0.0009,0.0046,0.2648,0.004,0.0768,0.1362,0.3162,0.0002,0.1445,0.0162,0.0,0.6567,0.8983,0.0002,0.0172,0.2528,0.7313,0.0088,0.0073,0.0179,0.0016,0.0001,0.4017,0.0,0.0564,0.0002,0.0259,0.0005,0.0848,0.1849,0.011,0.0839,0.0,0.0508,0.0654,0.1166,0.0085,0.0006,0.0001,0.102,0.0079,0.9865,0.2274,0.7278,0.0243,0.1955,0.3846,0.4998,0.6325,0.6896,0.0792,0.0052,0.333,0.2406,0.1109,0.0042,0.4281,0.0671,0.2991,0.9272,0.9706,0.1124,0.754,0.9423,0.959,0.1651,0.1712,0.6429,0.2785,0.7759,0.8855,0.789,0.0698,0.3924,0.5113,0.1897,0.9144,0.0527,0.1441,0.7418,0.2089
0.886,0.1348,0.7113,0.6404,0.995,0.0,0.0158,0.0959,0.1443,0.347,0.6149,0.0133,0.4458,0.0882,0.0324,0.8867,0.9891,0.5636,0.0893,0.3058,0.483,0.1487,0.0077,0.4086,0.0211,0.9762,0.2064,0.6031,0.1211,0.0403,0.6517,0.7197,0.5287,0.1482,0.1463,0.0391,0.5929,0.4558,0.3798,0.8818,0.0782,0.1984,0.0023,0.5986,0.4974,0.1128,0.0123,0.222,0.0867,0.655,0.0003,0.9417,0.0604,0.7506,0.2531,0.5886,0.1395,0.2057,0.0019,0.5668,0.8932,0.2297,0.2701,0.2713,0.3705,0.9331,0.114,0.3759,0.8896,0.9848,0.7497,0.4884,0.539,0.2577,0.2709,0.9518,0.0555,0.1567,0.3295,0.0866,0.6472,0.6216,0.8072,0.0283,0.7325,0.4204,0.1996,0.1539,0.0532,0.6943,0.066,0.116,0.1032,0.097,0.2883,0.2804,0.1581,0.9147,0.0518,0.9715
0.4393,0.0158,0.0086,0.1052,0.0036,0.0031,0.0,0.0001,0.0035,0.0013,0.0008,0.0,0.0007,0.0086,0.1866,0.6556,0.3137,0.586,0.7606,0.4414,0.2648,0.7603,0.6024,0.9821,0.0019,0.0014,0.0803,0.1799,0.8863,0.0202,0.1058,0.0046,0.1186,0.2605,0.0668,0.3501,0.0345,0.451,0.0353,0.0124,0.0103,0.0022,0.0933,0.8436,0.7622,0.1113,0.0081,0.0002,0.4539,0.0631,0.0052,0.2916,0.0504,0.026,0.0188,0.0376,0.0015,0.002,0.0133,0.0833,0.1872,0.0046,0.2281,0.5762,0.144,0.1076,0.629,0.9543,0.1686,0.4125,0.3299,0.0369,0.1103,0.0177,0.0617,0.1512,0.3049,0.4644,0.1964,0.0319,0.891,0.4408,0.4923,0.1368,0.4123,0.2969,0.0574,0.0052,0.4721,0.9551,0.5064,0.5648,0.5765,0.3917,0.6519,0.3172,0.7086,0.5761,0.7463,0.2303
0.4091,0.2434,0.7531,0.4346,0.6981,0.4965,0.0001,0.0,0.1079,0.2347,0.0002,0.0008,0.2506,0.7567,0.9262,0.001,0.6178,0.0032,0.2254,0.0037,0.1172,0.414,0.0224,0.894,0.0016,0.7452,0.2382,0.7803,0.0134,0.0008,0.7906,0.0726,0.0062,0.0002,0.6534,0.5052,0.0063,0.1427,0.1599,0.0976,0.015,0.5259,0.0075,0.3821,0.1243,0.3472,0.022,0.0056,0.8428,0.0936,0.0577,0.0989,0.4358,0.5999,0.8981,0.2159,0.1507,0.0349,0.2992,0.1025,0.9897,0.4618,0.3809,0.2371,0.7858,0.3038,0.4926,0.0031,0.4697,0.0444,0.0602,0.9801,0.4624,0.1988,0.262,0.3759,0.1578,0.3079,0.8965,0.0939,0.4106,0.4032,0.0854,0.8791,0.5204,0.4203,0.2057,0.0623,0.8794,0.698,0.8002,0.0831,0.5768,0.3608,0.4753,0.648,0.6886,0.6505,0.9903,0.7249
0.4438,0.1032,0.0634,0.4432,0.132,0.7382,0.0425,0.354,0.0,0.1102,0.0001,0.0,0.0036,0.4576,0.9476,0.0659,0.258,0.0634,0.3403,0.0718,0.0124,0.4783,0.3956,0.1234,0.0,0.1091,0.1896,0.9756,0.015,0.0054,0.3088,0.2682,0.0292,0.0029,0.2155,0.9943,0.001,0.7073,0.5808,0.8814,0.0009,0.1761,0.4982,0.377,0.3586,0.047,0.0017,0.0012,0.2068,0.0478,0.076,0.0751,0.1961,0.3533,0.4661,0.5751,0.1131,0.1439,0.3863,0.2538,0.7952,0.6388,0.6857,0.1336,0.5514,0.9066,0.4197,0.0036,0.0702,0.1041,0.0119,0.5084,0.4685,0.252,0.1578,0.0977,0.2065,0.3818,0.3848,0.3301,0.5214,0.1694,0.525,0.1986,0.2507,0.0063,0.025,0.0568,0.9334,0.4618,0.3984,0.0204,0.8727,0.1573,0.8136,0.6195,0.1566,0.1767,0.946,0.4491
0.6321,0.3342,0.8838,0.9823,0.6841,0.2682,0.0244,0.0981,0.1868,0.0,0.0067,0.0115,0.0168,0.6556,0.1033,0.0359,0.3803,0.1305,0.0125,0.7655,0.3729,0.0321,0.2802,0.935,0.4531,0.088,0.5875,0.5356,0.4374,0.0253,0.33,0.1664,0.0281,0.0256,0.9343,0.041,0.8698,0.0555,0.4551,0.422,0.618,0.4,0.0552,0.5652,0.0604,0.4266,0.1486,0.6595,0.0664,0.2004,0.4861,0.1514,0.9263,0.7997,0.3724,0.8447,0.1816,0.1625,0.0414,0.0122,0.7387,0.3609,0.0929,0.3901,0.6329,0.3065,0.3215,0.0138,0.9628,0.2403,0.4095,0.3251,0.51,0.6181,0.2152,0.5114,0.272,0.471,0.9307,0.8586,0.6042,0.7462,0.9637,0.127,0.0697,0.1922,0.8652,0.744,0.5444,0.4932,0.2835,0.8546,0.2401,0.1091,0.2243,0.2784,0.6376,0.9576,0.6611,0.3506
