2.055946556254483415e+00,-5.998216062775189872e-02,-4.936121727698349754e-02,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00.1,-0.000000000000000000e+00.1,0.000000000000000000e+00.2,0.000000000000000000e+00.3,-1.305355113461434402e-01,-0.000000000000000000e+00.2,0.000000000000000000e+00.4,0.000000000000000000e+00.5,-0.000000000000000000e+00.3,0.000000000000000000e+00.6,-5.714908536938185790e-01,1.540447017347048586e-01,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-5.824340841990020834e-02,2.540119352638346428e-01,-6.068927123357908959e-02,0.000000000000000000e+00.9,1.490861822050721652e-01,0.000000000000000000e+00.10,-0.000000000000000000e+00.9,0.000000000000000000e+00.11,-7.078013422783573094e-02,0.000000000000000000e+00.12,0.000000000000000000e+00.13,-0.000000000000000000e+00.10,0.000000000000000000e+00.14,-2.225328539607862588e-01,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,-0.000000000000000000e+00.13,-2.440972290107638054e-01,0.000000000000000000e+00.22,-4.649930603929861572e-01,-0.000000000000000000e+00.14,0.000000000000000000e+00.23,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-9.558229344259207283e-02,0.000000000000000000e+00.26,0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.15,0.000000000000000000e+00.32,8.725276256326604252e-02,0.000000000000000000e+00.33,0.000000000000000000e+00.34,1.623300385907458510e-01,0.000000000000000000e+00.35,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.36,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,0.000000000000000000e+00.37,-0.000000000000000000e+00.20,0.000000000000000000e+00.38,0.000000000000000000e+00.39,0.000000000000000000e+00.40,3.383567646947733404e-02,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,-5.944603828528609302e-02,0.000000000000000000e+00.41,-0.000000000000000000e+00.24,0.000000000000000000e+00.42,0.000000000000000000e+00.43,-0.000000000000000000e+00.25,0.000000000000000000e+00.44,0.000000000000000000e+00.45,-0.000000000000000000e+00.26,-0.000000000000000000e+00.27,0.000000000000000000e+00.46,0.000000000000000000e+00.47,2.774265987379056012e-02,-0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,0.000000000000000000e+00.48
-0.0599821606277519,3.2221330399089685,-0.0,-0.3485871036834223,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.2518202864005856,-1.1134026566380744,-0.0,-0.0,-0.11741865501459504,-0.0,-0.0,-0.028497998837191073,0.03841699699903981,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.13739707025628448,-0.14990898189087007,-0.02159793470154428,-0.06784101894991046,0.0,-0.0,0.0,0.004910354885395608,-0.0,-0.0,0.0,-0.08782493248275551,-0.0,-0.06364895633855844,-0.8324062124171523,-0.4088966038975906,-0.022894275949793208,-0.0,-0.2659258281116582,-0.0,-0.0,-0.0,-0.0,-0.08790597647097051,0.0,0.0,0.197609946921368,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
-0.0493612172769835,-0.0,1.4224515523364736,0.0,-0.0,-0.0,-0.0,0.0,0.011831960406203,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.09034130951141855,0.0,0.0,-0.0,0.0,0.13192922958835576,-0.0,-0.0,-0.0,0.0,-0.002451183641871191,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.04250961639397354,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.27388048483590294,-0.02130819259209337,0.0,0.0,-0.12691061816830698,-0.1943691443100188,-0.0,0.0,-0.0,-0.4481351096462301,-0.0,0.0,-0.0,0.15170186949740566,-0.0,0.0,-0.0018957564773154504,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.03398450747235114,-0.0,-0.0,0.20318583231679077,0.0,0.0,-0.0,-0.0,0.1290062209088996,0.07741518963775094,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.13193896706070596,-0.0,-0.10467357478332552,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0694141012979901,-0.0
-0.0,-0.3485871036834223,0.0,4.551167004541162,-0.5677441332290067,0.0,-0.5142163864948782,-1.1203775872231807,-0.0,-0.0,-0.0,-0.013752406157382683,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0021996134248014327,0.0,0.051727684384653534,0.0,-0.0,-0.0,0.0,0.0,0.07113369858982249,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.40777921206209455,0.0,0.05863748179938372,0.15289245878814392,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-1.427934976708808,0.0,0.0224103492674602,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.10727296288815756,0.0,-0.0,0.0,0.0,0.06941957277243735,0.0,-0.0,-0.0,-0.0,-0.0,-0.19581158655531372,-0.3758831742562649,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.4529801950946133,0.0,0.0,0.003182765765331228
0.0,-0.0,-0.0,-0.5677441332290067,3.2484441945334552,-0.6012256803295102,-0.0,-0.2237463879226076,-0.16596793631410464,-0.0,0.0,-0.0,-0.26871260848085887,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.06590955046481065,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.19910675163263064,0.0,0.030781048979714055,-0.0,-0.0,-0.0,-0.0,-0.05533271734012381,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.07785734430212089,0.0,0.0,-0.8619693588507694,-1.1289423921036144,-0.0,-0.0,-0.01545719775418137,0.0,0.17308750881137103,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.03783634703551396,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.12771646134311204,-0.07881176411985609,-0.0,-0.03961672582229129,0.03180883917572056,0.0,0.0,0.0,0.04139367255950495,-0.04303860830410034,-0.0,0.0,-0.0,-0.0,0.0,0.0
0.0,-0.0,-0.0,0.0,-0.6012256803295102,4.070324550299102,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.03923567808551784,-0.0,-0.0,0.0,-0.0,0.18439823619947243,-0.1237495735912528,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.10597790258311794,-0.0,-0.20902966046667543,-0.0,-0.0,0.0,0.0,0.0,-0.22382367830934569,-0.0,-0.0,0.0,-0.0646034711997507,-0.0,0.0,-0.05929317182900249,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09180090634916308,-0.0,0.0,0.0,0.0,0.0,-2.3086817741992984,-0.6074609803159009,0.0,-0.0,0.05207473472309156,0.10057117309946063,-0.04787020900691354,-0.0,0.0,0.06477392079037307,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.2523177328967788,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0022975550089454327,0.0,-0.0,0.0,-0.0,0.0,0.12312458922119908,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.16803548597728568,0.0,-0.4752791967939331,0.0
-0.0,-0.0,-0.0,-0.5142163864948782,-0.0,0.0,3.3760234645574143,-1.4718296751498252,0.0,-0.14483384649425524,0.0,-0.0,-0.0,0.0,0.0,-0.6629588884882172,-0.06016963334985967,-0.1466970720052214,-0.2793167350872148,-0.0,-0.16258286769656635,-0.0,-0.0,-0.06763558540183356,0.0,0.0,0.0,0.0380561095351528,0.0,0.07284071013158992,-0.07996959058295423,-0.0,-0.0,0.0,0.0,0.17009969895489851,0.0,-0.0,0.0,-0.2239917167768661,-0.0,0.0,-0.07454361522877571,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.06520707779075383,0.0,0.0,0.0,0.0,0.1133687089466256,0.0,-0.05642165679460722,0.0,0.0,0.0,0.0,0.1386287438798533,0.0,-0.1080551730490772,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.265858932488848,-0.13995496832771573,-0.19517154712747303,0.0,0.0,0.14777056701681332,0.010606931836426668,-0.0,0.0,0.36744989863352345,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.015211783090520216,-0.0,-0.0
0.0,-0.0,0.0,-1.1203775872231807,-0.2237463879226076,0.0,-1.4718296751498252,4.148370514082757,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.2895608290679703,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.16890580394503205,0.08990650372146625,0.0,0.0,-0.0,-0.07326918674181096,0.0008253134393241885,-0.0,0.0,0.0,0.0,0.10469676938642623,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.7698006017026746,-0.5687545593592798,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.10901078082004416,0.0,-0.0,0.0,0.0,0.12368588748705844,-0.0,0.0,0.0,0.0,0.0,-0.07753088830718906,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.029338920960683,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
0.0,-0.0,0.011831960406203,-0.0,-0.16596793631410464,-0.0,0.0,-0.0,2.6334508437670268,-0.0,0.0,-0.0,-0.0,0.16016167668216338,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.003707576487428579,0.0,0.07245152328257011,-0.0,0.0,-0.1924589918069598,-0.0,-0.3185132988027528,-0.0,0.0,-0.0,-0.0,-0.15468945165547357,0.0,-0.0,0.026900637790466683,0.0,0.0,0.0,0.0,-0.11093797941691907,-0.0,0.0,-0.0,-0.20480981793329528,-0.6196701211752602,-0.0,-0.09803159187934227,-0.0,-0.9754189258156691,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.020130551851475095,-0.0,-0.09907836858210499,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.26305216489741334,0.0,-0.06722282911776796,0.05308311498163365,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0
-0.13053551134614344,-0.0,0.0,-0.0,-0.0,-0.0,-0.14483384649425524,-0.0,-0.0,1.9850655569506777,-0.20773147245958773,-0.10593887603744064,0.0,-0.0,-0.0,-0.2357956428092248,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.05151403884523289,-0.0,0.09424426098074468,0.0,0.06295814844235985,0.0,0.0,0.08322085458512118,-0.0,-0.07710973504498012,0.0,0.17125120165349889,0.0,0.0,-0.5427443022340823,0.0,-0.23363409017167783,-0.0,-0.0,-0.09009210497133024,0.0,0.13231762730786695,0.0,-0.0,0.0,-0.0,0.0,0.1505291298441552,0.0,0.0,0.0,-0.0,-0.0,0.028333896425024884,-0.0,-0.23813454919077504,-0.04490868573141277,-0.0,0.0,0.0,-0.0,0.1263180333651905,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.2020449052168641,-0.033607486544256424,-0.20196247391131597,-0.0,-0.0,-0.0,0.0,-0.1238115830217402,0.0,0.0,-0.0,-0.0,-0.08226294381028108,0.0,-0.0,-0.0,-0.21244704319588592,0.29661134855944643,-0.0,-0.0,-0.0,-0.15031488169184226,0.0,-0.0,-0.0,-0.0,0.0
-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.20773147245958773,2.5333924110523,-0.8075453648654326,0.04287913351376848,-0.0,0.0,0.0,0.3980072468429173,0.1322461171604147,-0.0,-0.0,0.1349581252534432,0.0,0.0,0.0,-0.4005764388457738,-0.05097918501935893,0.0,0.04038514264786568,0.0,-0.002088993827235843,0.0,0.0008105622397663171,-0.0,0.0,0.021583075479222526,0.025761861148141368,0.029016725964582234,-0.0,-0.0,-0.16407435146339447,-0.0,-0.242111087006412,-0.0,-0.0,0.10092631061976275,0.0,-0.0,0.0,0.13683141955372446,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.21969748960159843,-0.683987235108962,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.018670461435021046,0.0,0.0,0.0,-0.0,-0.0,0.0,0.2666965505311966,-0.0,0.0,-0.0,0.0,0.0,0.08613085486567683,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.07667976993377917,-0.0500022583940062,-0.15811899080046898,0.0,0.0,-0.0,0.0,-0.0,-0.21205222389936587,-0.0,0.0,-0.0
