2.419456843460343620e+00,-0.000000000000000000e+00,-3.753950484438231538e-02,-0.000000000000000000e+00.1,0.000000000000000000e+00,-1.141218556913103400e-02,-1.759498241972665689e-01,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,0.000000000000000000e+00.1,0.000000000000000000e+00.2,1.240820933085317879e-01,0.000000000000000000e+00.3,-0.000000000000000000e+00.4,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,0.000000000000000000e+00.4,5.902506099737413886e-02,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-0.000000000000000000e+00.9,0.000000000000000000e+00.5,-0.000000000000000000e+00.10,1.033036520863334917e-01,-1.835894622701847445e-01,5.010880997809071674e-02,-0.000000000000000000e+00.11,0.000000000000000000e+00.6,0.000000000000000000e+00.7,-0.000000000000000000e+00.12,0.000000000000000000e+00.8,-2.029416131044446681e-01,-2.442989195877018349e-01,1.568637408828934543e-01,0.000000000000000000e+00.9,0.000000000000000000e+00.10,0.000000000000000000e+00.11,-2.406125902744997436e-01,-0.000000000000000000e+00.13,0.000000000000000000e+00.12,-0.000000000000000000e+00.14,0.000000000000000000e+00.13,7.127510217835995865e-03,-0.000000000000000000e+00.15,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,0.000000000000000000e+00.14,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,-4.236381169496427068e-01,-2.910805804949074815e-01,0.000000000000000000e+00.15,-5.658592265505832386e-02,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.16,4.669912903508183777e-01,-0.000000000000000000e+00.24,0.000000000000000000e+00.17,0.000000000000000000e+00.18,2.971599114973605057e-02,-0.000000000000000000e+00.25,0.000000000000000000e+00.19,0.000000000000000000e+00.20,-0.000000000000000000e+00.26,1.381047432085492910e-01,0.000000000000000000e+00.21,-0.000000000000000000e+00.27,-0.000000000000000000e+00.28,3.610646086432273694e-01,0.000000000000000000e+00.22,0.000000000000000000e+00.23,9.582551202192124418e-02,0.000000000000000000e+00.24,0.000000000000000000e+00.25,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.32,0.000000000000000000e+00.28,-2.663342330885866138e-01,-0.000000000000000000e+00.33,0.000000000000000000e+00.29,-0.000000000000000000e+00.34,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.35,0.000000000000000000e+00.32,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,0.000000000000000000e+00.33,-0.000000000000000000e+00.38,-8.171728155128321625e-02,-0.000000000000000000e+00.39,-0.000000000000000000e+00.40,-0.000000000000000000e+00.41
-0.0,3.080904990447395,-0.5885799016043418,-0.01659936525087053,0.0,-0.06238193998227175,-0.2033902561245148,-0.9011712045296456,-0.0,-0.023826540207619352,-0.0,-0.0,-0.0,-0.0,-0.14720807095169727,-0.238162139962692,-0.015446175197245351,-0.0,-0.0,-0.0,-0.0010127396800820683,-0.0,-0.0,-0.08842364257936154,-0.0,-0.0,-0.0,0.14880936874622738,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.2630692114544876,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.049054179683307754,-0.029680984057224438,-0.0,-0.0,0.0,-0.020916954933387008,0.08728076775035981,-0.8546629967338754,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.03791838509858626,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.2496559763588364,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.1195153579702862,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.019502076820364755,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
-0.03753950484438232,-0.5885799016043418,2.6531687343536254,-0.0,0.0,-0.35683828662006756,-0.049203917117249765,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.031790573139859786,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.04362660547057694,0.0,0.0,0.0,-0.0025677598107503616,-0.0,-0.0,0.0,-0.0,0.0,-0.7609841058744464,0.0,0.0,-0.0,-0.8572685526131268,-0.0,0.0,0.0,-0.0,-0.0,0.08606358861685523,0.07487839676640591,0.0,0.0,0.0,0.0,0.0,0.2046661559324532,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.10733208572430536,-0.0,-0.0,-0.03072016606061592,-0.0,0.18225858256812424,-0.0,0.0,0.022241896193855804,0.02683223825600355,0.0,0.09233262909616112,0.08931627382308603,0.028089822907571508,0.0,-0.01404907383181704,-0.0,-0.0,0.0
-0.0,-0.01659936525087053,-0.0,2.531487072702879,-0.35088123033115703,-0.007743471443295066,-0.0,-0.5638325452217476,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.5419210322961385,-0.17174425306656255,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.050737282940254064,-0.0,0.0,-0.06610592780707665,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0834775865768442,-0.0,-0.5572807522750748,-0.29530050935435653,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.29899115730548725,0.0,0.08310521688363735,0.0,0.13259657485447168,0.0,0.010598343802066148,0.0,0.024161075596249942,0.0,0.0,0.0,0.11927425854050847,-0.0,-0.0,-0.04678029857304618,0.0,-0.0,0.0,-0.0,-0.06280886539920004,-0.0,0.0,-0.0,0.0,0.2741546941924947,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
0.0,0.0,0.0,-0.35088123033115703,2.661297416383149,-0.33607125423667356,0.008059167057786521,-0.0,-0.12205318726122608,0.0,-0.0637120762804188,-0.11463219943405165,-0.0,0.0,0.06542564758513052,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.08651487129318333,-0.18066681670389584,0.0,-0.48177913766392505,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.005589861689630811,-0.028902345800168993,0.0,-0.0,-0.08859498238973491,0.0,-0.0,-0.02111706649190499,0.0,0.0,0.0,-0.0,0.07528780205244115,0.0,-0.0,-0.0,0.0,0.0,-0.4365204257168529,-0.971377568169738,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.07802113240019892,0.0,0.0,-0.0,0.0,0.0,0.0,-0.012961651102057423,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.38302888690604936,0.0,0.15796358109168027,0.0,0.0,0.0
-0.011412185569131034,-0.06238193998227175,-0.35683828662006756,-0.007743471443295066,-0.33607125423667356,2.6704325693194977,-0.0,-0.0,-0.05215515694247782,-0.10963316310559608,-0.18758822164982397,-0.0,0.0,0.0858224414429847,0.0,-0.0,0.0264609845822634,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.13319628073409312,-0.0,-0.0,-0.15195822333175413,-0.0,-0.0,-0.004320677322613095,-0.0,-0.0,-0.0,-0.0,-0.2375880838362196,0.0,-0.0,-0.20484172439101905,-0.0,-0.0,0.08495641301524766,-0.0,-1.2866563741272932,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.08155501139676861,0.0,0.05148865328121652,-0.0,0.04009472913502446,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.006103385918628775,0.0,-0.0109996027895027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01979347883912023,-0.059707533762791455,-0.0,0.0,-0.0,-0.0,-0.08614323754504415,-0.0
-0.17594982419726657,-0.2033902561245148,-0.049203917117249765,-0.0,0.008059167057786521,-0.0,3.3096081936639385,-0.2500910593797558,-0.48335552675463306,-0.0,0.0,0.0,0.0,-0.0,-0.13133265807377234,-1.4135404317759903,-0.0,-0.105323154631283,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.053779769904099335,0.21369528091027248,-0.0,0.0,-0.170928457945142,-0.0,-0.07475249705402742,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04526182692406109,0.0,0.0,0.0,0.0,0.04423301085455046,-0.0,-0.0,-0.0,0.0,0.0,-0.156342741885752,-0.21858698537788096,0.0,0.0,-0.024455160322896127,-0.05183470215411488,-0.0,0.0,-0.08393556746368995,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0900542549331888,0.0,0.0,-0.2578354099421129,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.002042362773201646,0.02359516971970624,0.0,0.0,0.0,0.0,0.4595086919339272,-0.0,0.0,-0.0,-0.009473769031122894,0.011849310441705452
-0.0,-0.9011712045296456,-0.0,-0.5638325452217476,-0.0,-0.0,-0.2500910593797558,3.1200086827907527,-0.24925710075209456,0.0,0.0,-0.0,-0.0,-0.15023672985069045,-0.0,-0.0,-0.0,-0.0,-0.02774313387685997,0.0,-0.016916951892947955,-0.1172105999405856,-0.0,-0.0,-0.09504705417908517,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.08656630251916056,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.02310488841288281,-0.0,-0.0,-0.0,-0.08253244467350412,0.0,-0.0,0.0,-0.17241583741270838,-0.0,-0.0,-0.0,-0.0,-0.20753898925620928,-0.5988325803189268,-0.0,-0.10248190845163904,-0.05285002684074237,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.2723939720669793,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.14562298932366133,0.10535412873041436,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.12205318726122608,-0.05215515694247782,-0.48335552675463306,-0.24925710075209456,3.192959943039129,-0.06704638848543824,-0.09810940147292278,-0.0,-0.0,-0.0,-0.0031919292082615647,-0.0,0.0,-0.0,-0.0,0.019937814579524173,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.16734964700475025,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.10471067367000032,-0.0,-0.029928496683550732,-0.0,-0.12614926422179815,-0.0,-0.128451725152354,-0.4275306509790008,-0.2957896287172588,-1.2192532923902446,-0.13124879371629172,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.14697576655140007,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0882482032208386,0.0,-0.0,-0.0,0.0,0.0,0.030812906521677688,-0.0,0.0,-0.0,-0.009583465160414036,0.0
0.0,-0.023826540207619352,0.0,-0.0,0.0,-0.10963316310559608,-0.0,0.0,-0.06704638848543824,2.1769548138301014,-0.4525535217770844,-0.0,-0.0,-0.0,-0.0,-0.13554740719037503,-0.0,-0.0,-0.014182231354592022,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.07986621594620644,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.4530255699808847,-0.11977913194898744,-0.39370233985152736,-0.0,-0.020651177091139557,-0.07528083168070544,-0.0,-0.057764677007834456,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.174071963283827,-0.0,-0.0,0.042645088360423994,-0.0,-0.018738628722215416,-0.5843802543508402,-0.11770719444275526,0.0,0.0,0.0,-0.0,0.0,0.0,0.08758649199928166,0.0,0.0,0.0,0.0,0.008172150606460952,-0.29910911830750486,-0.11461223427542232,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.1124646908287829,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.02683035123911842,0.0,-0.0,-0.0334138338355912,-0.0,-0.0,0.0,0.0,-0.0,0.0
0.0,-0.0,0.0,-0.0,-0.0637120762804188,-0.18758822164982397,0.0,0.0,-0.09810940147292278,-0.4525535217770844,2.4345396663764087,-1.2577920841236896,-0.0,0.0,0.0,0.0,0.16451959490830473,0.0,-0.0,0.04957367169701302,0.0028664255801048324,0.08028529934381322,0.22369958768877524,-0.0,0.1699229943928162,-0.0,0.0,-0.0837310779866003,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.007714305454076936,0.0,0.0,0.0,-0.0,-0.0,-0.08409550428040198,-0.0,-0.0,0.0,-0.04025380440959756,0.0,0.20794701229836976,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.15039438029404886,-0.059511316289721373,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.13178589274417463,0.0,-0.0,0.0854895003053107,-0.0,-0.11625292195387212,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.24562455885976428,0.0,0.0,0.06625754633212752,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
